"Date","PAR_surf_Flux","Qual_Surf_PAR","day","month","year","hour","minute","hhour","tzone","xlat","xlon","noon","sunrise","sunset","azimuth","zenith","eqtime","declin","daylight","PAR","PAR_particleFlux","dayLength"
2015-07-22 13:00:00,1879,210,22,7,2015,13,0,13,-8,47.6292991,-122.254822,12.2579447337114,4.56932652906116,19.9465629383617,62.7290867622953,87.049944129877,-6.45739602268663,20.2675644219639,15.3772364093006,1.97891195965669,9.04362765563109,55358.051073482
2015-07-22 13:15:00,1823,210,22,7,2015,13,0.25,13.25,-8,47.6292991,-122.254822,12.2579515055622,4.56952493015356,19.9463780809708,65.4223817559097,84.7788271411779,-6.45780233373031,20.2654929223051,15.3768531508172,10.9558282535378,50.0681351186678,55356.6713429421
2015-07-22 13:30:00,1698,210,22,7,2015,13,0.5,13.5,-8,47.6292991,-122.254822,12.2579582600796,4.56972336081944,19.9461931593397,68.0830712846227,82.4585806097077,-6.45820760477521,20.2634208096812,15.3764697985203,24.935071119865,113.953275017783,55355.2912746731
2015-07-22 13:45:00,1709,210,22,7,2015,13,0.75,13.75,-8,47.6292991,-122.254822,12.2579649972617,4.56992182105122,19.9460081734721,70.7189226863917,80.0947186508211,-6.45861183570077,20.261348084079,15.3760863524209,41.7469019770749,190.783342035232,55353.9108687153
2015-07-22 14:00:00,1743,210,22,7,2015,14,0,14,-8,47.6292991,-122.254822,12.2579717171064,4.57012031084137,19.9458231233715,73.3381638276358,77.6925769564582,-6.45901502638626,20.2592747454846,15.3757028125301,60.2322348027847,275.261313048726,55352.5301251085
2015-07-23 10:00:00,1332,210,23,7,2015,10,0,10,-8,47.6292991,-122.254822,12.2584529312208,4.58609378500842,19.9308120774331,25.8239794929362,108.328753593839,-6.4878878732462,20.0914289014715,15.3447182924247,0,0,55240.9858527289
2015-07-23 10:15:00,908,210,23,7,2015,10,0.25,10.25,-8,47.6292991,-122.254822,12.2584582392969,4.58629461404665,19.9306218645472,29.3125461611901,107.161114077629,-6.48820635781639,20.0893061820998,15.3443272505006,0,0,55239.5781018021
2015-07-23 10:30:00,1707,210,23,7,2015,10,0.5,10.5,-8,47.6292991,-122.254822,12.2584635298551,4.58649547128929,19.9304315884209,32.7262773702903,105.860719169991,-6.48852379130435,20.0871828564612,15.3439361171316,0,0,55238.1700216736
2015-07-23 10:45:00,1726,210,23,7,2015,10,0.75,10.75,-8,47.6292991,-122.254822,12.2584688028933,4.58669635672914,19.9302412490575,36.0626361027763,104.435062725391,-6.48884017359893,20.0850589245416,15.3435448923283,0,0,55236.7616123821
2015-07-23 11:00:00,1768,210,23,7,2015,11,0,11,-8,47.6292991,-122.254822,12.2584740584098,4.58689727035905,19.9300508464606,39.3206608191413,102.891814164288,-6.48915550458974,20.0829343863259,15.3431535761016,0,0,55235.3528739656
2015-07-23 11:15:00,1812,210,23,7,2015,11,0.25,11.25,-8,47.6292991,-122.254822,12.2584792964021,4.58709821214491,19.9298603806592,42.5008269445484,101.238691991837,-6.48946978412356,20.0808092420846,15.3427621685143,0,0,55233.9438066515
2015-07-23 11:30:00,1842,210,23,7,2015,11,0.5,11.5,-8,47.6292991,-122.254822,12.2584845168682,4.58729918207954,19.9296698516568,45.6048895624772,99.4833588142642,-6.48978301208984,20.0786834918031,15.3423706695773,0,0,55232.5344104781
2015-07-23 11:45:00,1859,210,23,7,2015,11,0.75,11.75,-8,47.6292991,-122.254822,12.2584897198063,4.58750018015574,19.9294792594568,48.6357210986419,97.6333382976401,-6.49009518837775,20.0765571354672,15.3419790793011,0,0,55231.124685484
2015-07-23 12:00:00,1654,210,23,7,2015,12,0,12,-8,47.6292991,-122.254822,12.2584949052139,4.58770120633948,19.9292886040884,51.597154944976,95.6959532153467,-6.49040631283561,20.0744301733466,15.3415873977489,0,0,55229.714631896
2015-07-23 12:15:00,1866,210,23,7,2015,12,0.25,12.25,-8,47.6292991,-122.254822,12.2585000730892,4.58790226062357,19.9290978855549,54.493843056403,93.678282867336,-6.49071638535296,20.0723026054273,15.3411956249313,0,0,55228.3042497527
